Date: <<2013/05/02 17:58:57>>, File: <<ProjectItem.php>>, Line: <<19>>, Path: <<tools/BHike/lib/DvBHBuild/BHBuild/Model/>>, Mode: <<E_NOTICE>>, Description: <<Undefined property: BHBuild_Model_ProjectItem::$replaceParamters>> 
Date: <<2013/05/02 17:58:57>>, File: <<ProjectItem.php>>, Line: <<19>>, Path: <<tools/BHike/lib/DvBHBuild/BHBuild/Model/>>, Mode: <<E_NOTICE>>, Description: <<Undefined property: BHBuild_Model_ProjectItem::$replaceParamters>> 
Date: <<2013/05/02 17:58:57>>, File: <<ProjectItem.php>>, Line: <<19>>, Path: <<tools/BHike/lib/DvBHBuild/BHBuild/Model/>>, Mode: <<E_NOTICE>>, Description: <<Undefined property: BHBuild_Model_ProjectItem::$replaceParamters>> 
Date: <<2013/05/02 17:58:57>>, File: <<ProjectItem.php>>, Line: <<19>>, Path: <<tools/BHike/lib/DvBHBuild/BHBuild/Model/>>, Mode: <<E_NOTICE>>, Description: <<Undefined property: BHBuild_Model_ProjectItem::$replaceParamters>> 
Date: <<2013/05/02 17:58:57>>, File: <<ProjectItem.php>>, Line: <<19>>, Path: <<tools/BHike/lib/DvBHBuild/BHBuild/Model/>>, Mode: <<E_NOTICE>>, Description: <<Undefined property: BHBuild_Model_ProjectItem::$replaceParamters>> 
Date: <<2013/05/02 17:58:57>>, File: <<ProjectItem.php>>, Line: <<19>>, Path: <<tools/BHike/lib/DvBHBuild/BHBuild/Model/>>, Mode: <<E_NOTICE>>, Description: <<Undefined property: BHBuild_Model_ProjectItem::$replaceParamters>> 
Date: <<2013/05/02 17:59:34>>, File: <<ProjectItem.php>>, Line: <<19>>, Path: <<tools/BHike/lib/DvBHBuild/BHBuild/Model/>>, Mode: <<E_NOTICE>>, Description: <<Undefined property: BHBuild_Model_ProjectItem::$replaceParamters>> 
Date: <<2013/05/02 17:59:34>>, File: <<ProjectItem.php>>, Line: <<19>>, Path: <<tools/BHike/lib/DvBHBuild/BHBuild/Model/>>, Mode: <<E_NOTICE>>, Description: <<Undefined property: BHBuild_Model_ProjectItem::$replaceParamters>> 
Date: <<2013/05/02 17:59:34>>, File: <<ProjectItem.php>>, Line: <<19>>, Path: <<tools/BHike/lib/DvBHBuild/BHBuild/Model/>>, Mode: <<E_NOTICE>>, Description: <<Undefined property: BHBuild_Model_ProjectItem::$replaceParamters>> 
Date: <<2013/05/02 17:59:34>>, File: <<ProjectItem.php>>, Line: <<19>>, Path: <<tools/BHike/lib/DvBHBuild/BHBuild/Model/>>, Mode: <<E_NOTICE>>, Description: <<Undefined property: BHBuild_Model_ProjectItem::$replaceParamters>> 
Date: <<2013/05/02 17:59:34>>, File: <<ProjectItem.php>>, Line: <<19>>, Path: <<tools/BHike/lib/DvBHBuild/BHBuild/Model/>>, Mode: <<E_NOTICE>>, Description: <<Undefined property: BHBuild_Model_ProjectItem::$replaceParamters>> 
